"locationid","location","iso3","time","population","gdp","longitude","latitude"
144,"Sri Lanka","LKA",1990,17204094,541.941244965285,80.77179718017578,7.873054027557373
144,"Sri Lanka","LKA",2000,18776371,1018.86265760583,80.77179718017578,7.873054027557373
144,"Sri Lanka","LKA",2010,20668558,2799.64915388974,80.77179718017578,7.873054027557373
144,"Sri Lanka","LKA",2020,21715080,3767.60665468822,80.77179718017578,7.873054027557373
148,"Chad","TCD",1990,5827069,307.495908522627,18.73220634460449,15.454166412353516
148,"Chad","TCD",2000,8259137,188.586789931322,18.73220634460449,15.454166412353516
148,"Chad","TCD",2010,11894727,917.880124482655,18.73220634460449,15.454166412353516
148,"Chad","TCD",2020,16644702,679.067283844749,18.73220634460449,15.454166412353516
152,"Chile","CHL",1990,13342868,2630.45404319165,-71.54296875,-35.675148010253906
152,"Chile","CHL",2000,15351799,5107.63585557179,-71.54296875,-35.675148010253906
152,"Chile","CHL",2010,17004162,12808.0354231427,-71.54296875,-35.675148010253906
152,"Chile","CHL",2020,19300315,13231.709642446,-71.54296875,-35.675148010253906
156,"China","CHN",1990,1153704253,335.263136335696,104.19539642333984,35.86166000366211
156,"China","CHN",2000,1264099069,938.615656334364,104.19539642333984,35.86166000366211
156,"China","CHN",2010,1348191368,4447.06365945419,104.19539642333984,35.86166000366211
156,"China","CHN",2020,1424929781,10228.9705580833,104.19539642333984,35.86166000366211
170,"Colombia","COL",1990,32601393,1708.53898186133,-74.29733276367188,4.570868015289307
170,"Colombia","COL",2000,39215136,2503.92321263136,-74.29733276367188,4.570868015289307
170,"Colombia","COL",2010,44816108,6336.70921367982,-74.29733276367188,4.570868015289307
170,"Colombia","COL",2020,50930663,5332.77279049289,-74.29733276367188,4.570868015289307
174,"Comoros","COM",1990,431119,1240.93695107638,43.33330154418945,-11.645500183105469
174,"Comoros","COM",2000,536758,777.979137931335,43.33330154418945,-11.645500183105469
174,"Comoros","COM",2010,656024,1315.21600248004,43.33330154418945,-11.645500183105469
174,"Comoros","COM",2020,806166,1420.65190502353,43.33330154418945,-11.645500183105469
178,"Congo","COG",1990,2385435,1303.90387623694,15.827658653259276,-0.228020995855331
178,"Congo","COG",2000,3134030,1074.03792363184,15.827658653259276,-0.228020995855331
178,"Congo","COG",2010,4437884,3200.48498849609,15.827658653259276,-0.228020995855331
178,"Congo","COG",2020,5702174,1830.38249097654,15.827658653259276,-0.228020995855331
180,"Dem. Rep. of the Congo","COD",1990,35987541,434.325809187685,21.75866317749023,-4.038332939147949
180,"Dem. Rep. of the Congo","COD",2000,48616317,177.033576630212,21.75866317749023,-4.038332939147949
180,"Dem. Rep. of the Congo","COD",2010,66391257,334.021982444468,21.75866317749023,-4.038332939147949
180,"Dem. Rep. of the Congo","COD",2020,92853165,505.883923589688,21.75866317749023,-4.038332939147949
184,"Cook Islands","COK",1990,17123,3990.08755797956,-159.7776641845703,-21.236736297607425
184,"Cook Islands","COK",2000,15897,5576.33577711793,-159.7776641845703,-21.236736297607425
184,"Cook Islands","COK",2010,17212,13092.7319093479,-159.7776641845703,-21.236736297607425
184,"Cook Islands","COK",2020,17029,16134.9779483292,-159.7776641845703,-21.236736297607425
188,"Costa Rica","CRI",1990,3158254,2336.39287617487,-83.75342559814453,9.748916625976562
188,"Costa Rica","CRI",2000,3979193,3789.09199977211,-83.75342559814453,9.748916625976562
188,"Costa Rica","CRI",2010,4622252,8227.11959493577,-83.75342559814453,9.748916625976562
188,"Costa Rica","CRI",2020,5123105,12076.8059608058,-83.75342559814453,9.748916625976562
191,"Croatia","HRV",1990,4873707,3482.18169034446,15.199999809265137,45.09999847412109
191,"Croatia","HRV",2000,4548434,4932.11573307511,15.199999809265137,45.09999847412109
191,"Croatia","HRV",2010,4368682,13961.1175776341,15.199999809265137,45.09999847412109
191,"Croatia","HRV",2020,4096870,13934.2419553929,15.199999809265137,45.09999847412109
192,"Cuba","CUB",1990,10626680,2703.13562184072,-77.78116607666016,21.52175712585449
192,"Cuba","CUB",2000,11105791,2747.13452562951,-77.78116607666016,21.52175712585449
192,"Cuba","CUB",2010,11290418,5730.35477459488,-77.78116607666016,21.52175712585449
192,"Cuba","CUB",2020,11300698,9477.85287326771,-77.78116607666016,21.52175712585449
196,"Cyprus","CYP",1990,788500,10801.6332707626,33.42985916137695,35.12641143798828
196,"Cyprus","CYP",2000,948238,14363.9922744832,33.42985916137695,35.12641143798828
196,"Cyprus","CYP",2010,1129686,30993.0709126792,33.42985916137695,35.12641143798828
196,"Cyprus","CYP",2020,1237537,28133.0711589119,33.42985916137695,35.12641143798828
203,"Czechia","CZE",1990,10301193,3938.5636623431,15.472962379455566,49.8174934387207
203,"Czechia","CZE",2000,10234710,6008.48025307629,15.472962379455566,49.8174934387207
203,"Czechia","CZE",2010,10464749,19842.4129264694,15.472962379455566,49.8174934387207
203,"Czechia","CZE",2020,10530954,22910.628937362,15.472962379455566,49.8174934387207
204,"Benin","BEN",1990,5133420,400.311403045848,2.315834045410156,9.307689666748049
204,"Benin","BEN",2000,6998023,374.19383956066,2.315834045410156,9.307689666748049
204,"Benin","BEN",2010,9445710,757.697410781237,2.315834045410156,9.307689666748049
204,"Benin","BEN",2020,12643123,1254.21258947608,2.315834045410156,9.307689666748049
208,"Denmark","DNK",1990,5144624,26890.7069020633,9.501785278320312,56.263919830322266
208,"Denmark","DNK",2000,5340655,30734.2968869546,9.501785278320312,56.263919830322266
208,"Denmark","DNK",2010,5550849,57966.5746511516,9.501785278320312,56.263919830322266
208,"Denmark","DNK",2020,5825641,61476.5969290503,9.501785278320312,56.263919830322266
212,"Dominica","DMA",1990,69482,2860.44433504636,-61.370975494384766,15.414999008178713
212,"Dominica","DMA",2000,68346,4787.80144106777,-61.370975494384766,15.414999008178713
212,"Dominica","DMA",2010,68755,6967.26665433457,-61.370975494384766,15.414999008178713
212,"Dominica","DMA",2020,71995,7037.6853112385,-61.370975494384766,15.414999008178713
214,"Dominican Republic","DOM",1990,7129004,1334.88840504955,-70.16265106201172,18.735692977905277
214,"Dominican Republic","DOM",2000,8540792,2828.36046228018,-70.16265106201172,18.735692977905277
214,"Dominican Republic","DOM",2010,9775755,5483.12595576953,-70.16265106201172,18.735692977905277
214,"Dominican Republic","DOM",2020,10999664,7268.18860336878,-70.16265106201172,18.735692977905277
218,"Ecuador","ECU",1990,10449838,1488.81548840018,-78.18340301513672,-1.831238985061645
218,"Ecuador","ECU",2000,12626507,1444.5566847668,-78.18340301513672,-1.831238985061645
218,"Ecuador","ECU",2010,14989586,4633.59035839904,-78.18340301513672,-1.831238985061645
218,"Ecuador","ECU",2020,17588596,5600.39151951811,-78.18340301513672,-1.831238985061645
222,"El Salvador","SLV",1990,5367179,914.130927449095,-88.89653015136719,13.794184684753418
222,"El Salvador","SLV",2000,5958482,2001.53800397966,-88.89653015136719,13.794184684753418
222,"El Salvador","SLV",2010,6114035,2983.23016490469,-88.89653015136719,13.794184684753418
222,"El Salvador","SLV",2020,6292731,3798.63470103088,-88.89653015136719,13.794184684753418
226,"Equatorial Guinea","GNQ",1990,465549,404.909813353396,10.267894744873049,1.650800943374633
226,"Equatorial Guinea","GNQ",2000,684977,2492.35660170732,10.267894744873049,1.650800943374633
226,"Equatorial Guinea","GNQ",2010,1094525,17272.002599381,10.267894744873049,1.650800943374633
226,"Equatorial Guinea","GNQ",2020,1596049,7143.23810177987,10.267894744873049,1.650800943374633
231,"Ethiopia","ETH",1990,47878074,234.042398649872,40.48967361450195,9.145000457763672
231,"Ethiopia","ETH",2000,67031867,121.25672115705,40.48967361450195,9.145000457763672
231,"Ethiopia","ETH",2010,89237791,300.220310475965,40.48967361450195,9.145000457763672
231,"Ethiopia","ETH",2020,117190911,840.361930061963,40.48967361450195,9.145000457763672
232,"Eritrea","ERI",1990,2149960,147.147431716968,39.78233337402344,15.179384231567385
232,"Eritrea","ERI",2000,2392880,308.133782114477,39.78233337402344,15.179384231567385
232,"Eritrea","ERI",2010,3147727,501.355633266246,39.78233337402344,15.179384231567385
232,"Eritrea","ERI",2020,3555868,587.614195752495,39.78233337402344,15.179384231567385
233,"Estonia","EST",1990,1570674,3615.40094699884,25.013607025146484,58.59527206420898
233,"Estonia","EST",2000,1396877,4067.44308822324,25.013607025146484,58.59527206420898
233,"Estonia","EST",2010,1331535,14664.8905382907,25.013607025146484,58.59527206420898
233,"Estonia","EST",2020,1329444,23105.5233911819,25.013607025146484,58.59527206420898
242,"Fiji","FJI",1990,780430,1837.95854182905,178.06503295898438,-17.71337127685547
242,"Fiji","FJI",2000,832509,2105.95311836913,178.06503295898438,-17.71337127685547
242,"Fiji","FJI",2010,905170,3652.54909906683,178.06503295898438,-17.71337127685547
242,"Fiji","FJI",2020,920422,5013.23098335222,178.06503295898438,-17.71337127685547
246,"Finland","FIN",1990,4986545,28310.4955214345,25.748151779174805,61.924110412597656
246,"Finland","FIN",2000,5176209,24230.4683912627,25.748151779174805,61.924110412597656
246,"Finland","FIN",2010,5363272,46438.9329414369,25.748151779174805,61.924110412597656
246,"Finland","FIN",2020,5529468,48685.2453931033,25.748151779174805,61.924110412597656
250,"France","FRA",1990,56412897,21793.1384642538,2.213748931884765,46.227638244628906
250,"France","FRA",2000,58665453,22378.025193679,2.213748931884765,46.227638244628906
250,"France","FRA",2010,62444567,40685.2611812413,2.213748931884765,46.227638244628906
250,"France","FRA",2020,64480053,38958.6034185801,2.213748931884765,46.227638244628906
258,"French Polynesia","PYF",1990,211090,17848.7829797976,-149.40684509277344,-17.67974281311035
258,"French Polynesia","PYF",2000,250927,15609.6924396793,-149.40684509277344,-17.67974281311035
258,"French Polynesia","PYF",2010,283788,22820.7839236576,-149.40684509277344,-17.67974281311035
258,"French Polynesia","PYF",2020,301920,20707.4527737439,-149.40684509277344,-17.67974281311035
262,"Djibouti","DJI",1990,577174,773.908324359837,42.590274810791016,11.825138092041016
262,"Djibouti","DJI",2000,742033,761.401664128385,42.590274810791016,11.825138092041016
262,"Djibouti","DJI",2010,919200,1480.18884152596,42.590274810791016,11.825138092041016
